,LAND,TID,INDHOLD
0,Denmark,1989,9.8
1,Denmark,1990,10.7
2,Denmark,1991,9.6
3,Denmark,1992,9.5
4,Denmark,1993,7.1
5,Denmark,1994,7.4
6,Denmark,1995,7.6
7,Denmark,1996,6.0
8,Denmark,1997,5.1
9,Denmark,1998,4.6
10,Denmark,1999,4.3
11,Denmark,2000,5.5
12,Denmark,2001,4.7
13,Denmark,2002,4.6
14,Denmark,2003,4.3
15,Denmark,2004,4.3
16,Denmark,2005,3.4
17,Denmark,2006,3.8
18,Denmark,2007,4.3
19,Denmark,2008,4.3
20,Denmark,2009,3.6
21,Denmark,2010,2.9
22,Denmark,2011,2.7
23,Denmark,2012,1.4
24,Denmark,2013,1.7
25,Denmark,2014,1.3
26,Denmark,2015,0.7
27,Denmark,2016,0.3
28,Denmark,2017,0.5
29,Denmark,2018,0.5
30,Denmark,2019,0.1
31,Denmark,2020,0.3
32,Denmark,2021,-0.1
33,Denmark,2022,3.4
